repeat    mu        y
    1      0     2.16991
    1      0     0.52020
    1      0    -1.66061
    1      0     0.27137
    1      0     1.51865
    1      0     0.77743
    1      0     0.25763
    1      0     0.20281
    1      0     0.73436
    1      0     0.83570
    1      0    -0.80833
    1      0    -1.61038
    1      0    -0.06920
    1      0    -0.32142
    1      0     0.51198
    1      0    -0.23336
    1      0     0.73999
    1      0     1.18322
    1      0     0.67146
    1      0     1.72239
    1      0    -0.31213
    1      0    -2.33237
    1      0    -1.22558
    1      0    -0.40331
    1      0     0.21885
    1      0     1.04538
    1      0    -0.10792
    1      0     0.66588
    1      0     0.90732
    1      0     0.42665
    1      0    -1.44441
    1      0    -0.07678
    1      0     0.07874
    1      0     0.46126
    1      0    -0.81219
    1      0     0.68096
    1      0     1.06451
    1      0    -1.42752
    1      0    -0.24553
    1      0    -2.48725
    1      0     2.18784
    1      0    -1.82993
    1      0     0.22440
    1      0     1.68230
    1      0     0.65463
    1      0    -1.63628
    1      0     1.77154
    1      0    -0.26394
    1      0     2.67842
    1      0     0.24475
    1      0     0.63185
    1      0    -0.06977
    1      0     0.15163
    1      0     0.10138
    1      0     0.10926
    1      0     0.33897
    1      0     0.02722
    1      0    -0.16562
    1      0    -0.42463
    1      0    -0.49905
    1      0     0.45860
    1      0    -0.54622
    1      0     0.29042
    1      0     1.44572
    1      0    -1.07852
    1      0    -0.97845
    1      0    -0.52274
    1      0    -0.46942
    1      0    -1.04956
    1      0    -0.74777
    1      0     2.02810
    1      0    -1.75464
    1      0    -0.26568
    1      0    -2.04640
    1      0    -0.56146
    1      0     1.83610
    1      0     0.81475
    1      0     0.36421
    1      0    -0.21723
    1      0    -1.97024
    1      0    -0.61012
    1      0     1.58263
    1      0     0.67324
    1      0     0.78064
    1      0    -0.68572
    1      0    -0.24097
    1      0     0.75359
    1      0     0.72894
    1      0     0.92588
    1      0    -1.20726
    1      0    -0.86031
    1      0    -0.59529
    1      0     0.00961
    1      0    -0.48420
    1      0    -0.33470
    1      0    -0.67362
    1      0    -0.53542
    1      0     0.19621
    1      0    -0.09124
    1      0     0.93917
    1      0     1.69970
    1      0    -1.59325
    1      0     1.33121
    1      0    -1.23217
    1      0    -0.05555
    1      0     0.19070
    1      0     0.44358
    1      0     0.46152
    1      0     2.28989
    1      0     0.99459
    1      0    -1.17572
    1      0    -0.12333
    1      0     0.89496
    1      0     0.09015
    1      0     1.55117
    1      0     0.49024
    1      0     1.18876
    1      0     0.66680
    1      0    -0.59470
    1      0    -0.74931
    1      0    -2.08163
    1      0    -1.03141
    1      0    -1.94923
    1      0    -0.60640
    1      0     0.29599
    1      0     0.42467
    1      0     0.35111
    1      0     0.77908
    1      0    -1.27076
    1      0     1.10271
    1      0    -1.59618
    1      0    -1.10918
    1      0    -1.14482
    1      0    -1.09769
    1      0     2.05997
    1      0    -0.12189
    1      0    -1.00917
    1      0     0.85399
    1      0    -1.54193
    1      0     0.54091
    1      0     1.52286
    1      0     1.01153
    1      0    -0.29227
    1      0     2.39225
    1      0     0.01643
    1      0    -1.48789
    1      0     0.86949
    1      0    -0.25233
    1      0    -0.73960
    1      0     1.43484
    2      0    -2.15780
    2      0     0.50813
    2      0     2.23203
    2      0     0.45116
    2      0    -0.30942
    2      0    -0.24415
    2      0     0.93874
    2      0     2.14058
    2      0    -0.75553
    2      0    -0.83167
    2      0    -1.30650
    2      0     0.08270
    2      0    -0.92222
    2      0     0.32041
    2      0     2.14373
    2      0     1.53294
    2      0    -0.80392
    2      0    -1.44106
    2      0    -0.16512
    2      0     1.08905
    2      0    -0.99940
    2      0    -1.03509
    2      0     0.23707
    2      0     0.00775
    2      0    -0.17434
    2      0    -1.11464
    2      0    -0.55511
    2      0     0.64700
    2      0     1.93897
    2      0     1.37316
    2      0    -0.34091
    2      0    -0.79221
    2      0    -0.02828
    2      0    -0.81473
    2      0    -0.79326
    2      0    -0.28275
    2      0     0.53326
    2      0     0.32774
    2      0     0.80222
    2      0    -0.78254
    2      0    -0.31467
    2      0     0.00060
    2      0    -0.06477
    2      0     0.67596
    2      0     0.54628
    2      0     0.90024
    2      0    -0.09300
    2      0     0.08567
    2      0     0.77866
    2      0    -0.84732
    2      0    -0.28442
    2      0    -0.07927
    2      0     1.46411
    2      0    -0.11265
    2      0     0.67825
    2      0     1.22345
    2      0    -0.08565
    2      0     0.92283
    2      0    -0.15151
    2      0    -0.14959
    2      0     0.97979
    2      0    -0.07602
    2      0    -0.34593
    2      0    -1.11843
    2      0     0.39413
    2      0     0.87792
    2      0    -0.72017
    2      0     1.03175
    2      0    -0.83135
    2      0    -0.57396
    2      0     0.12063
    2      0    -0.76350
    2      0    -2.10590
    2      0    -0.25389
    2      0     0.27300
    2      0    -0.53637
    2      0    -1.25118
    2      0     0.79096
    2      0     0.60266
    2      0     0.06827
    2      0     0.20072
    2      0     0.97134
    2      0    -1.32480
    2      0     3.55806
    2      0     0.50445
    2      0    -0.44645
    2      0    -0.39199
    2      0    -0.33925
    2      0     0.62064
    2      0     1.34500
    2      0    -0.06423
    2      0     0.08612
    2      0    -0.54967
    2      0     1.82384
    2      0     1.10241
    2      0     0.17900
    2      0    -0.14234
    2      0     0.83014
    2      0    -0.83150
    2      0    -0.65990
    2      0    -1.44019
    2      0     0.71970
    2      0    -2.97730
    2      0     0.45264
    2      0    -0.13627
    2      0     0.40734
    2      0     2.15045
    2      0     3.07098
