repeat       mu           y
    1      0.11493    -0.60510
    1     -1.08047    -1.54235
    1      0.09181     0.34533
    1     -1.49858    -1.12609
    1      1.21019    -0.22406
    1     -1.40942    -0.83836
    1      0.64368     1.74317
    1     -0.28269     1.25191
    1      0.85860     1.94001
    1      0.36630     0.87014
    1      0.19725     1.35619
    1      0.17602     0.12763
    1      0.58422     1.47562
    1      0.65048     0.45072
    1      0.68356     0.16423
    1     -1.11081     0.51655
    1     -0.11202    -1.75218
    1      0.87403     0.67956
    1      0.57528     2.61512
    1     -0.76234     0.03494
    1      0.22942     1.88403
    1      0.52754    -0.42431
    1     -0.53402     0.27803
    1     -0.67975    -0.41621
    1      0.25582     1.45507
    1     -0.89800    -0.86889
    1      0.69573     2.72831
    1     -0.78305    -1.17333
    1      0.72804     0.76475
    1      0.51819     0.60555
    1      0.17754     0.43663
    1      0.15966     0.76551
    1      0.32490     0.32001
    1      0.57921     0.77010
    1      0.83796     2.49301
    1     -0.18659    -0.40136
    1      0.35018    -0.09774
    1      0.50410     0.94871
    1     -0.24358     0.65269
    1     -0.73337    -1.14469
    1      0.45627     0.72364
    1      0.43244    -1.29965
    1      0.70760     1.26609
    1     -0.10981    -0.64593
    1      1.86944     2.11360
    1     -0.31320    -0.83607
    1      0.31425     0.66679
    1     -0.97930    -1.33961
    1     -0.74327    -0.46370
    1     -0.09749    -0.72097
    1      0.95328     0.48749
    1      1.32175     2.08937
    1      0.05868     0.95105
    1      1.10947     1.10248
    1     -0.02862     0.21064
    1      0.54104     2.80924
    1      0.44948     2.36991
    1     -0.67423    -1.08208
    1      0.14816    -0.00477
    1     -0.57755     0.88853
    1      0.16342     0.91129
    1     -0.36809     0.60854
    1      1.89873     0.76908
    1     -1.02298    -1.71556
    1      0.67554     0.00028
    1     -2.25571     0.35574
    1      0.53396     0.96234
    1      1.66885     2.66322
    1     -0.58031    -2.16598
    1      1.79400     2.94194
    1      0.07483    -1.12922
    1     -0.83996     0.64705
    1      1.25611     1.54592
    1     -0.29185     2.14113
    1      0.37305     0.59692
    1     -0.07913    -0.00031
    1     -0.37467     0.09209
    1     -0.11725    -0.34396
    1     -0.18606     1.70794
    1      0.12296    -1.17552
    1     -0.95154    -1.15081
    1     -0.14585     0.61123
    1     -0.40994    -0.27740
    1     -0.59797    -0.76465
    1     -0.96659    -1.51799
    1      0.72333    -0.58101
    1     -0.34832    -0.86247
    1      0.53505     2.01676
